Thread ID: 17116160
Total: 0.069990

 %self     total     self     wait    child    calls  name
 12.33      0.06     0.01     0.00     0.06      900  #<Class:0x000000033a8740(HammerBuilder::Formated.dc[:AbstractDoubleTag])>#with
 11.29      0.06     0.01     0.00     0.06     1500  #<Class:0x000000033aa248(HammerBuilder::Formated.dc[:AbstractDoubleTag])>#open
 10.43      0.01     0.01     0.00     0.01     1500  #<Class:0x000000033aa568(HammerBuilder::Formated.dc[:AbstractTag])>#open
  5.00      0.01     0.00     0.00     0.01     2900  HammerBuilder::Abstract#flush
  4.80      0.00     0.00     0.00     0.00     1802  String#gsub
  4.70      0.01     0.00     0.00     0.00     1500  #<Class:0x0000000328c140(HammerBuilder::Formated.dc[:AbstractTag])>#flush_classes
  4.31      0.01     0.00     0.00     0.00      600  #<Class:0x000000033aa248(HammerBuilder::Formated.dc[:AbstractDoubleTag])>#flush
  3.94      0.00     0.00     0.00     0.00     1500  #<Class:0x000000033aa248(HammerBuilder::Formated.dc[:AbstractDoubleTag])>#content
  2.90      0.00     0.00     0.00     0.00     1600  <Class::CGI>#escapeHTML
  2.31      0.00     0.00     0.00     0.00     2400  Array#fetch
  2.19      0.00     0.00     0.00     0.00     1500  #<Class:0x0000000328c140(HammerBuilder::Formated.dc[:AbstractTag])>#attributes
  1.48      0.00     0.00     0.00     0.00     1799  Array#pop
  1.39      0.01     0.00     0.00     0.01      200  Mutex#synchronize
  1.29      0.00     0.00     0.00     0.00     1600  Array#empty?
  1.26      0.00     0.00     0.00     0.00     1500  Kernel#is_a?
  1.24      0.00     0.00     0.00     0.00      500  #<Class:0x0000000328c140(HammerBuilder::Formated.dc[:AbstractTag])>#class
  1.15      0.00     0.00     0.00     0.00      300  #<Class:0x0000000328c140(HammerBuilder::Formated.dc[:AbstractTag])>#id
  1.07      0.00     0.00     0.00     0.00     1500  Array#last
  1.06      0.00     0.00     0.00     0.00     1301  String#to_s
  1.02      0.01     0.00     0.00     0.01      300  HammerBuilder::Standard#div
  1.01      0.01     0.00     0.00     0.01      300  #<Class:0x00000003296f00(HammerBuilder::Formated.dc[:Div])>#class
  0.95      0.00     0.00     0.00     0.00     1400  #<Class:0x0000000328c140(HammerBuilder::Formated.dc[:AbstractTag])>#default
  0.89      0.00     0.00     0.00     0.00      101  #<Class:0x0000000328c140(HammerBuilder::Formated.dc[:AbstractTag])>#initialize
